filename,worker,CT spam,manual spam,workerCosine,workerDisagreement,sounds,keywordsPerSound,wordsPerSound,charPerSound,wordsPerKeyword,charPerKeyword,charPerWord
2-1-150-f680552.csv,6336109,0,0,1.0,0.9,3,1.0,1.0,8.0,1.0,8.0,8.0
2-1-150-f680552.csv,15439740,0,0,0.901,0.861,30,1.233,1.567,9.867,1.27,8.0,6.298
2-1-150-f680552.csv,6352345,0,0,0.81,0.816,6,2.0,2.167,11.5,1.083,5.75,5.308
2-1-150-f680552.csv,18569146,0,0,0.859,0.83,15,2.133,2.333,15.533,1.094,7.281,6.657
2-1-150-f680552.csv,6334158,0,0,0.771,0.805,30,1.2,2.233,14.133,1.861,11.778,6.328
2-1-150-f680552.csv,22064369,0,0,0.779,0.769,3,3.0,4.333,24.333,1.444,8.111,5.615
2-1-150-f680552.csv,28675156,0,0,0.824,0.822,30,2.1,2.267,11.033,1.079,5.254,4.868
2-1-150-f680552.csv,6748427,0,0,0.78,0.813,30,1.1,2.1,13.7,1.909,12.455,6.524
2-1-150-f680552.csv,20306700,0,0,0.916,0.844,9,2.0,2.222,11.667,1.111,5.833,5.25
2-1-150-f680552.csv,23854732,0,0,0.424,0.646,3,1.667,3.667,20.333,2.2,12.2,5.545
2-2-150-f681956.csv,31217877,0,0,0.937,0.889,3,6.0,8.0,45.333,1.333,7.556,5.667
2-2-150-f681956.csv,29611985,0,0,0.837,0.831,30,1.7,2.033,10.9,1.196,6.412,5.361
2-2-150-f681956.csv,17121874,0,0,0.698,0.767,3,1.0,1.667,11.0,1.667,11.0,6.6
2-2-150-f681956.csv,12918534,0,0,0.882,0.85,12,2.667,2.917,19.5,1.094,7.313,6.686
2-2-150-f681956.csv,30726390,0,0,0.865,0.841,24,1.042,1.417,8.875,1.36,8.52,6.265
2-2-150-f681956.csv,11096828,0,0,0.629,0.78,3,3.333,4.0,23.0,1.2,6.9,5.75
2-2-150-f681956.csv,29902780,0,0,0.834,0.833,30,2.367,3.4,19.833,1.437,8.38,5.833
2-2-150-f681956.csv,21614812,0,0,0.887,0.849,30,1.233,1.4,8.1,1.135,6.568,5.786
2-2-150-f681956.csv,23352788,0,0,0.632,0.749,9,1.0,2.889,16.667,2.889,16.667,5.769
2-2-150-f681956.csv,31241093,0,0,0.804,0.793,15,1.0,1.0,4.8,1.0,4.8,4.8
2-2-150-f681956.csv,16844474,0,0,0.69,0.789,30,2.3,9.933,60.933,4.319,26.493,6.134
2-2-150-f681956.csv,24237379,0,0,0.937,0.873,6,1.167,1.333,8.333,1.143,7.143,6.25
2-2-150-f681956.csv,1894315,0,0,0.862,0.829,18,1.0,2.0,10.833,2.0,10.833,5.417
2-2-150-f681956.csv,31166078,0,0,0.847,0.835,30,1.167,1.5,7.8,1.286,6.686,5.2
2-2-150-f681956.csv,29025907,0,0,0.892,0.856,30,2.133,2.433,13.233,1.141,6.203,5.438
2-2-150-f681956.csv,18504759,0,0,0.972,0.889,9,1.0,1.333,6.667,1.333,6.667,5.0
2-2-150-f681956.csv,25501111,0,0,0.931,0.865,18,1.0,1.167,7.556,1.167,7.556,6.476
2-2-150-f681956.csv,28224649,0,0,0.912,0.873,3,3.667,4.333,30.0,1.182,8.182,6.923
2-2-150-f681956.csv,18972023,0,0,0.897,0.857,30,1.867,2.2,12.833,1.179,6.875,5.833
2-2-150-f681956.csv,31277242,0,0,0.733,0.791,30,2.333,3.633,22.0,1.557,9.429,6.055
2-2-150-f681956.csv,6748427,0,0,0.841,0.826,21,1.143,2.762,16.571,2.417,14.5,6.0
2-2-150-f681956.csv,24133548,0,0,0.81,0.825,24,2.0,2.333,13.583,1.167,6.792,5.821
2-2-150-f681956.csv,27601799,0,0,0.84,0.84,9,1.111,1.333,8.444,1.2,7.6,6.333
2-2-150-f681956.csv,31483429,0,0,0.799,0.843,3,1.0,1.0,4.667,1.0,4.667,4.667
2-2-150-f681956.csv,19495345,0,0,0.799,0.82,30,1.767,2.9,16.867,1.642,9.547,5.816
2-2-150-f681956.csv,11837891,0,0,0.705,0.733,3,1.0,1.0,7.333,1.0,7.333,7.333
2-2-150-f681956.csv,31484336,0,0,0.776,0.831,30,3.2,3.567,21.833,1.115,6.823,6.121
2-2-150-f681956.csv,16441906,0,0,0.907,0.861,9,1.0,1.333,7.333,1.333,7.333,5.5
2-2-150-f681956.csv,18540373,0,0,0.836,0.833,15,2.0,3.267,20.133,1.633,10.067,6.163
2-2-150-f681956.csv,21163923,0,0,0.913,0.842,3,2.0,2.0,10.0,1.0,5.0,5.0
2-2-150-f681956.csv,16878855,0,0,0.862,0.837,21,1.095,1.286,6.905,1.174,6.304,5.37
2-2-150-f681956.csv,28396934,0,0,0.816,0.819,6,2.167,3.0,20.0,1.385,9.231,6.667
2-2-150-f681956.csv,25757318,0,0,0.775,0.813,30,1.6,1.9,12.0,1.188,7.5,6.316
2-2-150-f681956.csv,31375116,0,0,0.836,0.826,15,1.4,1.667,8.133,1.19,5.81,4.88
2-2-150-f681956.csv,19004168,0,0,0.898,0.859,12,1.0,1.75,10.417,1.75,10.417,5.952
2-2-150-f681956.csv,29872709,0,0,0.832,0.829,24,2.125,2.667,14.875,1.255,7.0,5.578
2-2-150-f681956.csv,30489373,0,0,0.714,0.791,60,2.85,3.5,19.717,1.228,6.918,5.633
2-2-150-f681956.csv,17973743,0,0,0.931,0.873,30,1.5,1.533,11.333,1.022,7.556,7.391
2-2-150-f681956.csv,31374612,0,0,1.0,0.9,3,1.0,1.0,4.333,1.0,4.333,4.333
2-2-150-f681956.csv,21689491,0,0,0.855,0.83,3,2.0,2.0,10.0,1.0,5.0,5.0
2-2-150-f681956.csv,31066150,0,0,0.877,0.832,6,2.0,4.667,28.333,2.333,14.167,6.071
2-2-150-f681956.csv,17609723,0,0,0.71,0.811,3,1.0,1.667,11.667,1.667,11.667,7.0
2-2-150-f681956.csv,1859054,0,0,0.846,0.802,3,1.667,1.667,8.667,1.0,5.2,5.2
2-2-150-f681956.csv,28096940,0,0,0.683,0.777,3,3.0,3.333,20.667,1.111,6.889,6.2
2-2-150-f681956.csv,8372126,0,0,0.706,0.751,3,2.333,2.667,12.333,1.143,5.286,4.625
2-2-150-f681956.csv,18144011,0,0,0.759,0.802,27,2.444,3.704,20.778,1.515,8.5,5.61
2-2-150-f681956.csv,29795602,0,0,0.744,0.8,21,1.19,2.81,16.905,2.36,14.2,6.017
2-2-150-f681956.csv,6009814,0,0,0.918,0.86,30,1.0,1.133,5.6,1.133,5.6,4.941
2-2-150-f681956.csv,29962254,0,0,0.902,0.855,30,1.0,1.3,6.367,1.3,6.367,4.897
2-2-150-f681956.csv,28868712,0,0,0.916,0.861,12,1.75,1.917,11.0,1.095,6.286,5.739
2-2-150-f681956.csv,6340447,0,0,0.875,0.861,3,3.0,3.0,17.333,1.0,5.778,5.778
2-2-150-f681956.csv,27939470,0,0,0.848,0.827,30,1.033,1.267,6.267,1.226,6.065,4.947
2-2-150-f681956.csv,18990100,0,0,0.843,0.837,30,1.433,2.8,16.433,1.953,11.465,5.869
2-2-150-f681956.csv,23583649,0,0,0.783,0.828,9,1.333,1.667,8.667,1.25,6.5,5.2
2-2-150-f681956.csv,29849805,0,0,0.941,0.886,3,2.333,2.333,15.333,1.0,6.571,6.571
2-2-150-f681956.csv,16621239,0,0,0.856,0.824,6,3.0,3.333,19.833,1.111,6.611,5.95
2-2-150-f681956.csv,13300986,0,0,0.911,0.866,15,1.6,1.733,11.067,1.083,6.917,6.385
2-2-150-f681956.csv,29812109,0,0,0.77,0.798,9,3.333,3.778,19.444,1.133,5.833,5.147
2-2-150-f681956.csv,31491265,0,0,0.853,0.822,30,3.733,3.9,22.033,1.045,5.902,5.65
2-2-150-f681956.csv,27938835,0,0,0.772,0.815,18,3.444,3.722,20.389,1.081,5.919,5.478
2-2-150-f681956.csv,31499767,0,0,0.613,0.737,3,1.333,2.0,11.667,1.5,8.75,5.833
2-2-150-f681956.csv,10213750,0,0,0.876,0.855,30,1.767,2.033,10.467,1.151,5.925,5.148
2-2-150-f681956.csv,31073793,0,0,0.732,0.799,6,1.667,3.333,20.333,2.0,12.2,6.1
2-2-150-f681956.csv,31456277,0,0,0.79,0.77,3,5.333,6.0,32.0,1.125,6.0,5.333
2-2-150-f681956.csv,19068162,0,0,0.93,0.87,30,2.3,2.333,14.167,1.014,6.159,6.071
2-2-150-f681956.csv,24564999,0,0,0.87,0.843,30,1.2,1.3,6.767,1.083,5.639,5.205
2-2-150-f681956.csv,15349219,0,0,1.0,0.9,3,3.0,3.667,22.0,1.222,7.333,6.0
2-2-150-f681956.csv,30473055,0,0,0.584,0.771,3,1.667,2.333,15.667,1.4,9.4,6.714
2-2-150-f681956.csv,6587538,0,0,0.952,0.867,3,2.0,2.0,14.667,1.0,7.333,7.333
2-2-150-f681956.csv,29857340,0,0,0.872,0.834,6,2.333,3.333,20.833,1.429,8.929,6.25
2-2-150-f681956.csv,26659245,0,0,0.886,0.856,18,1.222,1.889,10.056,1.545,8.227,5.324
2-2-150-f681956.csv,31400125,0,0,0.843,0.862,6,1.0,2.0,12.667,2.0,12.667,6.333
2-2-150-f681956.csv,27077723,0,0,0.966,0.885,30,1.267,1.3,5.833,1.026,4.605,4.487
2-2-150-f681956.csv,31157999,0,0,0.769,0.795,30,3.767,5.333,32.4,1.416,8.602,6.075
2-2-150-f681956.csv,31033819,0,0,1.0,0.9,30,1.0,1.6,7.4,1.6,7.4,4.625
2-2-150-f681956.csv,30210544,0,0,0.935,0.876,9,2.889,3.111,18.0,1.077,6.231,5.786
2-2-150-f681956.csv,8493824,0,0,0.784,0.835,6,1.0,2.5,13.833,2.5,13.833,5.533
2-2-150-f681956.csv,14417445,0,0,0.761,0.813,3,1.0,2.667,13.0,2.667,13.0,4.875
2-2-150-f681956.csv,6720676,0,0,0.865,0.837,24,1.792,2.125,12.083,1.186,6.744,5.686
2-2-150-f681956.csv,18749666,0,0,0.855,0.878,3,1.667,2.0,13.333,1.2,8.0,6.667
2-2-150-f681956.csv,15143610,0,0,1.0,0.9,3,1.333,1.333,8.333,1.0,6.25,6.25
2-2-150-f681956.csv,22326425,0,0,0.918,0.871,30,1.067,1.233,6.6,1.156,6.188,5.351
2-2-150-f681956.csv,13121046,0,0,0.924,0.874,30,1.367,1.433,9.767,1.049,7.146,6.814
2-2-150-f681956.csv,30572823,0,0,0.848,0.862,30,1.133,2.1,12.333,1.853,10.882,5.873
2-2-150-f681956.csv,30968810,0,0,1.0,0.9,3,1.667,4.0,19.0,2.4,11.4,4.75
2-2-150-f681956.csv,31062219,0,0,0.892,0.85,24,2.0,2.167,10.5,1.083,5.25,4.846
2-2-150-f681956.csv,3587109,0,0,0.877,0.844,6,1.5,2.0,9.0,1.333,6.0,4.5
