# ----------------------------------------
# Search page
# Search Terms
# 20150316-20150818
# ----------------------------------------

Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth
snow,"3,246",2.25,24.37%,38.21%,00:02:50,0.01
chair,"3,238",2.25,23.87%,38.30%,00:03:58,0.01
audience,"3,224",3.08,38.74%,24.09%,00:03:49,0.02
door close,"3,221",2.02,31.26%,37.00%,00:03:29,0.01
battle,"3,218",3.00,28.65%,27.08%,00:03:26,0.02
pistol,"3,216",2.54,37.13%,27.72%,00:03:32,0.02
stone,"3,200",3.02,26.62%,28.37%,00:04:08,0.01
snoring,"3,192",1.98,38.35%,36.47%,00:03:58,0.02
8 bit,"3,191",3.83,43.97%,17.64%,00:04:26,0.06
cymbal,"3,188",2.64,40.97%,25.41%,00:03:02,0.02
video game,"3,183",4.20,36.19%,18.01%,00:04:48,0.03
airport,"3,176",2.86,33.72%,27.78%,00:04:07,0.02
kitchen,"3,170",2.64,22.90%,33.04%,00:03:36,0.03
creak,"3,165",2.58,26.70%,32.33%,00:03:27,0.02
swipe,"3,154",2.41,30.31%,33.11%,00:03:20,0.02
melody,"3,145",3.70,35.20%,19.93%,00:04:40,0.07
crunch,"3,137",2.15,27.26%,37.32%,00:02:49,0.03
bike,"3,116",2.38,26.64%,34.95%,00:03:30,0.02
glass breaking,"3,102",2.24,33.46%,33.34%,00:03:28,0.02
pain,"3,096",2.88,27.62%,28.32%,00:03:43,0.01
power up,"3,095",2.90,31.31%,26.75%,00:03:54,0.03
motorcycle,"3,085",2.92,38.87%,25.62%,00:04:32,0.03
jet,"3,079",2.17,32.97%,34.92%,00:03:30,0.04
orchestra,"3,073",2.87,34.10%,26.65%,00:03:40,0.05
yay,"3,072",2.17,35.48%,36.96%,00:03:02,0.02
bicycle,"3,067",2.99,34.89%,25.39%,00:04:46,0.03
squish,"3,067",2.67,29.02%,30.57%,00:03:46,0.02
football,"3,057",2.44,28.75%,35.76%,00:02:56,0.07
atmosphere,"3,054",2.70,28.59%,28.69%,00:03:51,0.05
dog barking,"3,042",2.16,34.94%,33.75%,00:03:22,0.02
sad music,"3,037",2.22,41.85%,31.78%,00:04:12,0.02
factory,"3,029",2.62,33.61%,29.02%,00:04:01,0.04
fan,"3,026",2.23,29.97%,35.53%,00:03:30,0.03
school,"3,015",2.26,33.57%,33.70%,00:03:14,0.01
elevator music,"3,010",1.35,31.43%,56.14%,00:02:01,0.04
hum,"2,994",2.28,24.52%,36.76%,00:02:54,0.03
dragon,"2,989",2.92,37.91%,24.67%,00:04:27,0.03
power down,"2,978",2.18,43.45%,29.23%,00:03:02,0.01
wow,"2,974",2.34,27.24%,36.69%,00:02:46,0.03
morning,"2,970",1.85,30.81%,42.59%,00:03:30,0.03
reverse,"2,947",2.72,36.61%,26.07%,00:03:31,0.03
angry,"2,937",2.59,21.93%,34.08%,00:03:14,0.02
movie,"2,931",2.77,29.14%,28.32%,00:03:11,0.07
trailer,"2,931",3.11,43.77%,20.99%,00:04:25,0.06
birds chirping,"2,928",1.87,35.01%,38.80%,00:03:29,0.01
phone ringing,"2,928",1.99,36.03%,36.76%,00:03:01,0.01
bee,"2,926",2.44,42.96%,26.62%,00:04:04,0.03
